Agency	CLR	County	MRD	State	Year
Prattville	1	Autauga, AL	1	Alabama	2015
Daphne	1	Baldwin, AL	2	Alabama	2015
Elberta	1	Baldwin, AL	1	Alabama	2015
Barbour County	1	Barbour, AL	2	Alabama	2015
Eufaula	1	Barbour, AL	1	Alabama	2015
Brent	1	Bibb, AL	2	Alabama	2015
Blount County	4	Blount, AL	5	Alabama	2015
Blountsville	0	Blount, AL	1	Alabama	2015
Union Springs	0	Bullock, AL	2	Alabama	2015
Butler County	0	Butler, AL	1	Alabama	2015
Greenville	2	Butler, AL	2	Alabama	2015
Anniston	6	Calhoun, AL	8	Alabama	2015
Jacksonville	1	Calhoun, AL	1	Alabama	2015
Oxford	1	Calhoun, AL	1	Alabama	2015
Lanett	3	Chambers, AL	3	Alabama	2015
Valley	1	Chambers, AL	1	Alabama	2015
Cherokee County	2	Cherokee, AL	2	Alabama	2015
Clanton	0	Chilton, AL	1	Alabama	2015
Clarke County	3	Clarke, AL	3	Alabama	2015
Coffee County	0	Coffee, AL	1	Alabama	2015
New Brockton	1	Coffee, AL	1	Alabama	2015
Muscle Shoals	0	Colbert, AL	1	Alabama	2015
Coosa County	1	Coosa, AL	1	Alabama	2015
Andalusia	1	Covington, AL	1	Alabama	2015
Ozark	0	Dale, AL	1	Alabama	2015
Dallas County	0	Dallas, AL	2	Alabama	2015
Selma	2	Dallas, AL	4	Alabama	2015
De Kalb County	3	De Kalb, AL	5	Alabama	2015
Elmore County	4	Elmore, AL	5	Alabama	2015
East Brewton	1	Escambia, AL	1	Alabama	2015
Etowah County	0	Etowah, AL	1	Alabama	2015
Gadsden	0	Etowah, AL	3	Alabama	2015
Franklin County	1	Franklin, AL	1	Alabama	2015
Geneva	1	Geneva, AL	1	Alabama	2015
Dothan	1	Houston, AL	1	Alabama	2015
Houston County	1	Houston, AL	3	Alabama	2015
Jackson County	0	Jackson, AL	1	Alabama	2015
Adamsville	1	Jefferson, AL	1	Alabama	2015
Bessemer	1	Jefferson, AL	7	Alabama	2015
Birmingham	44	Jefferson, AL	79	Alabama	2015
Brighton	0	Jefferson, AL	6	Alabama	2015
Hoover	3	Jefferson, AL	3	Alabama	2015
Jefferson County	5	Jefferson, AL	10	Alabama	2015
Leeds	0	Jefferson, AL	1	Alabama	2015
Morris	0	Jefferson, AL	1	Alabama	2015
Tarrant City	1	Jefferson, AL	2	Alabama	2015
Rogersville	0	Lauderdale, AL	1	Alabama	2015
Lawrence County	1	Lawrence, AL	1	Alabama	2015
Auburn	2	Lee, AL	2	Alabama	2015
Opelika	0	Lee, AL	3	Alabama	2015
Limestone County	2	Limestone, AL	2	Alabama	2015
Tuskegee	2	Macon, AL	3	Alabama	2015
Huntsville	9	Madison, AL	18	Alabama	2015
Madison County	7	Madison, AL	7	Alabama	2015
Demopolis	0	Marengo, AL	1	Alabama	2015
Marshall County	1	Marshall, AL	2	Alabama	2015
Chickasaw	0	Mobile, AL	1	Alabama	2015
Citronelle	0	Mobile, AL	1	Alabama	2015
Mobile	12	Mobile, AL	24	Alabama	2015
Mobile County	4	Mobile, AL	4	Alabama	2015
Prichard	2	Mobile, AL	14	Alabama	2015
Montgomery	8	Montgomery, AL	33	Alabama	2015
Decatur	5	Morgan, AL	5	Alabama	2015
Pike County	1	Pike, AL	1	Alabama	2015
Troy	3	Pike, AL	3	Alabama	2015
Phenix City	2	Russell, AL	3	Alabama	2015
Shelby County	3	Shelby, AL	3	Alabama	2015
Springville	0	St. Clair, AL	1	Alabama	2015
York	0	Sumter, AL	1	Alabama	2015
Childersburg	0	Talladega, AL	1	Alabama	2015
Lincoln	0	Talladega, AL	2	Alabama	2015
Sylacauga	0	Talladega, AL	2	Alabama	2015
Talladega	1	Talladega, AL	2	Alabama	2015
Talladega County	3	Talladega, AL	5	Alabama	2015
Tallapoosa County	1	Tallapoosa, AL	1	Alabama	2015
Northport	0	Tuscaloosa, AL	1	Alabama	2015
Tuscaloosa	6	Tuscaloosa, AL	7	Alabama	2015
Tuscaloosa County	2	Tuscaloosa, AL	2	Alabama	2015
Sumiton	0	Walker, AL	1	Alabama	2015
Walker County	0	Walker, AL	1	Alabama	2015
Alaska State Troopers	15	Anchorage, AK	22	Alaska	2015
Anchorage	21	Anchorage, AK	26	Alaska	2015
Bethel	2	Bethel, AK	2	Alaska	2015
Fairbanks	1	Fairbanks North Star, AK	1	Alaska	2015
Juneau	2	Juneau, AK	4	Alaska	2015
Kenai	3	Kenai Peninsula, AK	3	Alaska	2015
Ketchikan	1	Ketchikan Gateway, AK	1	Alaska	2015
Fort Apache Agency	0	Apache, AZ	3	Arizona	2015
Navajo Nation	6	Apache, AZ	17	Arizona	2015
Cochise County	2	Cochise, AZ	1	Arizona	2015
Sierra Vista	1	Cochise, AZ	2	Arizona	2015
Coconino County	2	Coconino, AZ	2	Arizona	2015
Northern Arizona Univ	1	Coconino, AZ	1	Arizona	2015
Payson	0	Gila, AZ	1	Arizona	2015
Graham County	0	Graham, AZ	1	Arizona	2015
La Paz County	6	La Paz, AZ	1	Arizona	2015
Avondale	8	Maricopa, AZ	8	Arizona	2015
Buckeye	2	Maricopa, AZ	2	Arizona	2015
Chandler	2	Maricopa, AZ	1	Arizona	2015
El Mirage	0	Maricopa, AZ	1	Arizona	2015
Gilbert	2	Maricopa, AZ	2	Arizona	2015
Glendale	7	Maricopa, AZ	13	Arizona	2015
Goodyear	0	Maricopa, AZ	1	Arizona	2015
Maricopa County	7	Maricopa, AZ	20	Arizona	2015
Mesa	16	Maricopa, AZ	16	Arizona	2015
Peoria	1	Maricopa, AZ	1	Arizona	2015
Phoenix	77	Maricopa, AZ	112	Arizona	2015
Salt River Tribal	1	Maricopa, AZ	1	Arizona	2015
Scottsdale	6	Maricopa, AZ	6	Arizona	2015
Surprise	3	Maricopa, AZ	2	Arizona	2015
Tempe	3	Maricopa, AZ	7	Arizona	2015
Bullhead City	0	Mohave, AZ	1	Arizona	2015
Kingman	3	Mohave, AZ	1	Arizona	2015
Mohave County	4	Mohave, AZ	2	Arizona	2015
Holbrook	1	Navajo, AZ	1	Arizona	2015
Marana	3	Pima, AZ	2	Arizona	2015
Pima County	8	Pima, AZ	10	Arizona	2015
South Tucson	1	Pima, AZ	3	Arizona	2015
Tohono O'odham Nation	0	Pima, AZ	2	Arizona	2015
Tucson	25	Pima, AZ	31	Arizona	2015
Casa Grande	2	Pinal, AZ	2	Arizona	2015
Eloy	1	Pinal, AZ	1	Arizona	2015
Florence	0	Pinal, AZ	1	Arizona	2015
Gila River Indian Comnty	4	Pinal, AZ	6	Arizona	2015
Maricopa	2	Pinal, AZ	2	Arizona	2015
Pinal County	7	Pinal, AZ	0	Arizona	2015
Camp Verde	0	Yavapai, AZ	1	Arizona	2015
Chino Valley	1	Yavapai, AZ	1	Arizona	2015
Cottonwood	1	Yavapai, AZ	1	Arizona	2015
Prescott	4	Yavapai, AZ	4	Arizona	2015
Prescott Valley	1	Yavapai, AZ	1	Arizona	2015
Yavapai County	2	Yavapai, AZ	1	Arizona	2015
Yuma	1	Yuma, AZ	5	Arizona	2015
Yuma County	3	Yuma, AZ	3	Arizona	2015
Baxter County	2	Baxter, AR	3	Arkansas	2015
Bella Vista	1	Benton, AR	1	Arkansas	2015
Benton County	1	Benton, AR	3	Arkansas	2015
Bentonville	0	Benton, AR	1	Arkansas	2015
Rogers	1	Benton, AR	1	Arkansas	2015
Siloam Springs	1	Benton, AR	0	Arkansas	2015
Boone County	2	Boone, AR	3	Arkansas	2015
Harrison	0	Boone, AR	1	Arkansas	2015
Calhoun County	0	Calhoun, AR	1	Arkansas	2015
Eudora	0	Chicot, AR	1	Arkansas	2015
Heber Springs	0	Cleburne, AR	1	Arkansas	2015
Magnolia	1	Columbia, AR	1	Arkansas	2015
Conway County	1	Conway, AR	2	Arkansas	2015
Craighead County	1	Craighead, AR	1	Arkansas	2015
Jonesboro	2	Craighead, AR	4	Arkansas	2015
Van Buren	1	Crawford, AR	1	Arkansas	2015
Crittenden County	3	Crittenden, AR	3	Arkansas	2015
West Memphis	5	Crittenden, AR	6	Arkansas	2015
Wynne	1	Cross, AR	1	Arkansas	2015
Dumas	3	Desha, AR	3	Arkansas	2015
Mcgehee	1	Desha, AR	1	Arkansas	2015
Monticello	0	Drew, AR	1	Arkansas	2015
Conway	3	Faulkner, AR	3	Arkansas	2015
Faulkner County	0	Faulkner, AR	2	Arkansas	2015
Charleston	1	Franklin, AR	1	Arkansas	2015
Hot Springs	5	Garland, AR	5	Arkansas	2015
Paragould	0	Greene, AR	1	Arkansas	2015
Hope	2	Hempstead, AR	2	Arkansas	2015
Batesville	1	Independence, AR	1	Arkansas	2015
Newport	1	Jackson, AR	1	Arkansas	2015
Jefferson County	2	Jefferson, AR	2	Arkansas	2015
Pine Bluff	4	Jefferson, AR	10	Arkansas	2015
Johnson County	2	Johnson, AR	2	Arkansas	2015
Logan County	0	Logan, AR	1	Arkansas	2015
England	1	Lonoke, AR	1	Arkansas	2015
Lonoke	0	Lonoke, AR	1	Arkansas	2015
Lonoke County	1	Lonoke, AR	2	Arkansas	2015
Madison County	2	Madison, AR	3	Arkansas	2015
Texarkana	3	Miller, AR	4	Arkansas	2015
Blytheville	9	Mississippi, AR	8	Arkansas	2015
Osceola	1	Mississippi, AR	1	Arkansas	2015
Helena	5	Phillips, AR	6	Arkansas	2015
Atkins	1	Pope, AR	1	Arkansas	2015
Pope County	1	Pope, AR	2	Arkansas	2015
Alexander	0	Pulaski, AR	2	Arkansas	2015
Jacksonville	2	Pulaski, AR	1	Arkansas	2015
Little Rock	18	Pulaski, AR	32	Arkansas	2015
Maumelle	0	Pulaski, AR	2	Arkansas	2015
North Little Rock	9	Pulaski, AR	12	Arkansas	2015
Pulaski County	1	Pulaski, AR	2	Arkansas	2015
Sherwood	1	Pulaski, AR	1	Arkansas	2015
Randolph County	1	Randolph, AR	1	Arkansas	2015
Benton	1	Saline, AR	1	Arkansas	2015
Waldron	1	Scott, AR	1	Arkansas	2015
Barling	0	Sebastian, AR	1	Arkansas	2015
Fort Smith	5	Sebastian, AR	5	Arkansas	2015
El Dorado	6	Union, AR	6	Arkansas	2015
Union County	1	Union, AR	1	Arkansas	2015
Fayetteville	4	Washington, AR	5	Arkansas	2015
University of Arkansas: Fayetteville	1	Washington, AR	1	Arkansas	2015
West Fork	1	Washington, AR	1	Arkansas	2015
White County	2	White, AR	3	Arkansas	2015
Alameda	1	Alameda, CA	2	California	2015
Alameda County	3	Alameda, CA	6	California	2015
Albany	0	Alameda, CA	1	California	2015
Berkeley	1	Alameda, CA	1	California	2015
East Bay Regional Parks: Alameda County	2	Alameda, CA	2	California	2015
Emeryville	1	Alameda, CA	1	California	2015
Fremont	3	Alameda, CA	2	California	2015
Hayward	4	Alameda, CA	10	California	2015
Livermore	2	Alameda, CA	3	California	2015
Newark	1	Alameda, CA	1	California	2015
Oakland	33	Alameda, CA	85	California	2015
San Leandro	0	Alameda, CA	1	California	2015
Union City	1	Alameda, CA	3	California	2015
Amador County	1	Amador, CA	1	California	2015
Butte County	2	Butte, CA	4	California	2015
Chico	1	Butte, CA	2	California	2015
Paradise	0	Butte, CA	1	California	2015
Calaveras County	5	Calaveras, CA	6	California	2015
Antioch	8	Contra Costa, CA	7	California	2015
Brentwood	1	Contra Costa, CA	0	California	2015
Concord	1	Contra Costa, CA	4	California	2015
Contra Costa County	5	Contra Costa, CA	14	California	2015
Danville	1	Contra Costa, CA	1	California	2015
El Cerrito	0	Contra Costa, CA	1	California	2015
Hercules	1	Contra Costa, CA	1	California	2015
Oakley	1	Contra Costa, CA	2	California	2015
Pittsburg	2	Contra Costa, CA	5	California	2015
Richmond	3	Contra Costa, CA	19	California	2015
San Pablo	1	Contra Costa, CA	2	California	2015
Walnut Creek	0	Contra Costa, CA	1	California	2015
Del Norte County	1	Del Norte, CA	1	California	2015
El Dorado County	9	El Dorado, CA	9	California	2015
South Lake Tahoe	1	El Dorado, CA	0	California	2015
Clovis	0	Fresno, CA	1	California	2015
Fresno	21	Fresno, CA	39	California	2015
Fresno County	5	Fresno, CA	8	California	2015
Huron	0	Fresno, CA	1	California	2015
Mendota	0	Fresno, CA	2	California	2015
Orange Cove	0	Fresno, CA	1	California	2015
Parlier	0	Fresno, CA	1	California	2015
Reedley	0	Fresno, CA	1	California	2015
Sanger	0	Fresno, CA	1	California	2015
Selma	2	Fresno, CA	4	California	2015
Glenn County	0	Glenn, CA	1	California	2015
Orland	2	Glenn, CA	2	California	2015
Arcata	2	Humboldt, CA	2	California	2015
Eureka	1	Humboldt, CA	3	California	2015
Humboldt County	5	Humboldt, CA	7	California	2015
Brawley	0	Imperial, CA	1	California	2015
El Centro	0	Imperial, CA	1	California	2015
Arvin	2	Kern, CA	3	California	2015
Bakersfield	14	Kern, CA	22	California	2015
Bear Valley	0	Kern, CA	1	California	2015
Delano	3	Kern, CA	4	California	2015
Kern County	11	Kern, CA	31	California	2015
Mcfarland	0	Kern, CA	1	California	2015
Ridgecrest	1	Kern, CA	1	California	2015
Shafter	1	Kern, CA	1	California	2015
Avenal	1	Kings, CA	2	California	2015
Hanford	0	Kings, CA	1	California	2015
Kings County	0	Kings, CA	2	California	2015
Clearlake	1	Lake, CA	5	California	2015
Lake County	3	Lake, CA	3	California	2015
Susanville	1	Lassen, CA	0	California	2015
Alhambra	2	Los Angeles, CA	1	California	2015
Arcadia	0	Los Angeles, CA	1	California	2015
Azusa	0	Los Angeles, CA	2	California	2015
Baldwin Park	1	Los Angeles, CA	1	California	2015
Bell	0	Los Angeles, CA	1	California	2015
Bellflower	1	Los Angeles, CA	1	California	2015
Beverly Hills	0	Los Angeles, CA	1	California	2015
Burbank	1	Los Angeles, CA	1	California	2015
Carson	3	Los Angeles, CA	7	California	2015
Claremont	1	Los Angeles, CA	1	California	2015
Commerce	1	Los Angeles, CA	2	California	2015
Compton	3	Los Angeles, CA	13	California	2015
Covina	1	Los Angeles, CA	1	California	2015
Cudahy	0	Los Angeles, CA	1	California	2015
Diamond Bar	1	Los Angeles, CA	1	California	2015
Downey	3	Los Angeles, CA	7	California	2015
El Monte	4	Los Angeles, CA	8	California	2015
El Segundo	0	Los Angeles, CA	1	California	2015
Gardena	4	Los Angeles, CA	6	California	2015
Glendale	5	Los Angeles, CA	5	California	2015
Hawaiian Gardens	2	Los Angeles, CA	2	California	2015
Hawthorne	3	Los Angeles, CA	6	California	2015
Huntington Park	1	Los Angeles, CA	1	California	2015
Inglewood	2	Los Angeles, CA	7	California	2015
Irwindale	0	Los Angeles, CA	1	California	2015
La Canada Flintridge	1	Los Angeles, CA	1	California	2015
La Puente	1	Los Angeles, CA	0	California	2015
LA Transportation Services Bureau	1	Los Angeles, CA	3	California	2015
Lakewood	3	Los Angeles, CA	3	California	2015
Lancaster	3	Los Angeles, CA	7	California	2015
Lomita	0	Los Angeles, CA	1	California	2015
Long Beach	19	Los Angeles, CA	36	California	2015
Los Angeles	192	Los Angeles, CA	282	California	2015
Los Angeles County	30	Los Angeles, CA	98	California	2015
Lynwood	2	Los Angeles, CA	5	California	2015
Maywood	1	Los Angeles, CA	2	California	2015
Monrovia	1	Los Angeles, CA	2	California	2015
Montebello	2	Los Angeles, CA	3	California	2015
Monterey Park	1	Los Angeles, CA	0	California	2015
Norwalk	5	Los Angeles, CA	9	California	2015
Palmdale	5	Los Angeles, CA	7	California	2015
Paramount	0	Los Angeles, CA	1	California	2015
Pasadena	2	Los Angeles, CA	4	California	2015
Pico Rivera	4	Los Angeles, CA	4	California	2015
Pomona	10	Los Angeles, CA	10	California	2015
Rancho Palos Verdes	0	Los Angeles, CA	1	California	2015
Redondo Beach	2	Los Angeles, CA	2	California	2015
Rosemead	3	Los Angeles, CA	2	California	2015
San Dimas	0	Los Angeles, CA	1	California	2015
San Gabriel	0	Los Angeles, CA	1	California	2015
Santa Clarita	5	Los Angeles, CA	7	California	2015
Santa Fe Springs	2	Los Angeles, CA	1	California	2015
Santa Monica	0	Los Angeles, CA	1	California	2015
Signal Hill	1	Los Angeles, CA	1	California	2015
South El Monte	3	Los Angeles, CA	6	California	2015
South Gate	0	Los Angeles, CA	2	California	2015
Temple City	1	Los Angeles, CA	1	California	2015
Torrance	1	Los Angeles, CA	2	California	2015
Vernon	1	Los Angeles, CA	1	California	2015
Walnut	0	Los Angeles, CA	1	California	2015
West Covina	3	Los Angeles, CA	2	California	2015
West Hollywood	1	Los Angeles, CA	2	California	2015
Whittier	0	Los Angeles, CA	1	California	2015
Madera	1	Madera, CA	3	California	2015
Madera County	0	Madera, CA	1	California	2015
Marin County	2	Marin, CA	3	California	2015
Novato	3	Marin, CA	2	California	2015
Sausalito	0	Marin, CA	1	California	2015
Mendocino County	3	Mendocino, CA	5	California	2015
Ukiah	0	Mendocino, CA	1	California	2015
Atwater	2	Merced, CA	3	California	2015
Dos Palos	1	Merced, CA	1	California	2015
Livingston	0	Merced, CA	1	California	2015
Los Banos	1	Merced, CA	1	California	2015
Merced	5	Merced, CA	11	California	2015
Merced County	8	Merced, CA	10	California	2015
Greenfield	0	Monterey, CA	2	California	2015
King City	0	Monterey, CA	2	California	2015
Marina	5	Monterey, CA	3	California	2015
Monterey	3	Monterey, CA	3	California	2015
Monterey County	0	Monterey, CA	5	California	2015
Salinas	9	Monterey, CA	40	California	2015
Sand City	2	Monterey, CA	2	California	2015
Seaside	3	Monterey, CA	0	California	2015
Soledad	0	Monterey, CA	3	California	2015
American Canyon	1	Napa, CA	1	California	2015
Calistoga	1	Napa, CA	1	California	2015
Napa County	3	Napa, CA	1	California	2015
Anaheim	14	Orange, CA	18	California	2015
Buena Park	1	Orange, CA	1	California	2015
Costa Mesa	0	Orange, CA	1	California	2015
Fountain Valley	0	Orange, CA	1	California	2015
Garden Grove	5	Orange, CA	4	California	2015
Irvine	1	Orange, CA	2	California	2015
Laguna Niguel	2	Orange, CA	2	California	2015
Los Alamitos	0	Orange, CA	1	California	2015
Mission Viejo	1	Orange, CA	1	California	2015
Newport Beach	1	Orange, CA	2	California	2015
Orange	1	Orange, CA	7	California	2015
Orange County	1	Orange, CA	2	California	2015
San Clemente	0	Orange, CA	1	California	2015
Santa Ana	11	Orange, CA	12	California	2015
Stanton	1	Orange, CA	0	California	2015
Tustin	1	Orange, CA	1	California	2015
Westminster	1	Orange, CA	1	California	2015
Placer County	2	Placer, CA	4	California	2015
Plumas County	1	Plumas, CA	1	California	2015
Banning	7	Riverside, CA	8	California	2015
Beaumont	1	Riverside, CA	1	California	2015
Blythe	1	Riverside, CA	1	California	2015
Cathedral City	0	Riverside, CA	3	California	2015
Coachella	2	Riverside, CA	3	California	2015
Corona	5	Riverside, CA	5	California	2015
Desert Hot Springs	1	Riverside, CA	7	California	2015
Eastvale	1	Riverside, CA	0	California	2015
Hemet	8	Riverside, CA	10	California	2015
Indio	2	Riverside, CA	5	California	2015
Jurupa Valley	3	Riverside, CA	6	California	2015
La Quinta	0	Riverside, CA	1	California	2015
Lake Elsinore	1	Riverside, CA	0	California	2015
Menifee	2	Riverside, CA	2	California	2015
Moreno Valley	5	Riverside, CA	6	California	2015
Palm Springs	1	Riverside, CA	3	California	2015
Perris	1	Riverside, CA	3	California	2015
Riverside	4	Riverside, CA	10	California	2015
Riverside County	6	Riverside, CA	12	California	2015
Temecula	1	Riverside, CA	1	California	2015
Citrus Heights	3	Sacramento, CA	4	California	2015
Elk Grove	2	Sacramento, CA	1	California	2015
Folsom	1	Sacramento, CA	1	California	2015
Galt	1	Sacramento, CA	1	California	2015
Rancho Cordova	1	Sacramento, CA	5	California	2015
Sacramento	24	Sacramento, CA	43	California	2015
Sacramento County	25	Sacramento, CA	37	California	2015
San Benito County	0	San Benito, CA	1	California	2015
Adelanto	2	San Bernardino, CA	2	California	2015
Apple Valley	2	San Bernardino, CA	1	California	2015
Barstow	1	San Bernardino, CA	2	California	2015
Big Bear Lake	1	San Bernardino, CA	0	California	2015
Colton	1	San Bernardino, CA	3	California	2015
Fontana	3	San Bernardino, CA	3	California	2015
Grand Terrace	1	San Bernardino, CA	1	California	2015
Hesperia	3	San Bernardino, CA	3	California	2015
Highland	2	San Bernardino, CA	2	California	2015
Montclair	1	San Bernardino, CA	4	California	2015
Needles	0	San Bernardino, CA	1	California	2015
Ontario	3	San Bernardino, CA	3	California	2015
Rancho Cucamonga	2	San Bernardino, CA	3	California	2015
Redlands	2	San Bernardino, CA	2	California	2015
Rialto	1	San Bernardino, CA	3	California	2015
San Bernardino	21	San Bernardino, CA	44	California	2015
San Bernardino County	14	San Bernardino, CA	18	California	2015
Twentynine Palms	2	San Bernardino, CA	2	California	2015
Upland	2	San Bernardino, CA	4	California	2015
Victorville	5	San Bernardino, CA	6	California	2015
Yucaipa	2	San Bernardino, CA	2	California	2015
Chula Vista	5	San Diego, CA	6	California	2015
El Cajon	2	San Diego, CA	2	California	2015
Escondido	7	San Diego, CA	7	California	2015
La Mesa	3	San Diego, CA	3	California	2015
National City	1	San Diego, CA	2	California	2015
Oceanside	5	San Diego, CA	9	California	2015
Port Of San Diego Harbor	0	San Diego, CA	1	California	2015
Poway	0	San Diego, CA	1	California	2015
San Diego	43	San Diego, CA	37	California	2015
San Diego County	6	San Diego, CA	10	California	2015
San Marcos	1	San Diego, CA	3	California	2015
Santee	2	San Diego, CA	1	California	2015
Vista	1	San Diego, CA	2	California	2015
San Francisco	28	San Francisco, CA	53	California	2015
San Francisco Bart: Alameda County	0	San Francisco, CA	1	California	2015
Lodi	0	San Joaquin, CA	4	California	2015
Manteca	3	San Joaquin, CA	5	California	2015
San Joaquin County	2	San Joaquin, CA	5	California	2015
Stockton	15	San Joaquin, CA	49	California	2015
Tracy	1	San Joaquin, CA	1	California	2015
San Luis Obispo County	3	San Luis Obispo, CA	3	California	2015
Belmont	1	San Mateo, CA	1	California	2015
Burlingame	0	San Mateo, CA	1	California	2015
East Palo Alto	2	San Mateo, CA	4	California	2015
Foster City	1	San Mateo, CA	1	California	2015
Redwood City	1	San Mateo, CA	1	California	2015
San Mateo	2	San Mateo, CA	2	California	2015
San Mateo County	4	San Mateo, CA	3	California	2015
South San Francisco	0	San Mateo, CA	1	California	2015
Lompoc	2	Santa Barbara, CA	2	California	2015
Santa Barbara	5	Santa Barbara, CA	1	California	2015
Santa Barbara County	1	Santa Barbara, CA	2	California	2015
Santa Maria	5	Santa Barbara, CA	13	California	2015
Campbell	1	Santa Clara, CA	1	California	2015
Gilroy	2	Santa Clara, CA	2	California	2015
Milpitas	1	Santa Clara, CA	1	California	2015
Morgan Hill	1	Santa Clara, CA	1	California	2015
Palo Alto	2	Santa Clara, CA	2	California	2015
San Jose	22	Santa Clara, CA	30	California	2015
Santa Clara	0	Santa Clara, CA	1	California	2015
Santa Clara County	3	Santa Clara, CA	4	California	2015
Saratoga	1	Santa Clara, CA	1	California	2015
Sunnyvale	1	Santa Clara, CA	1	California	2015
Santa Cruz	2	Santa Cruz, CA	2	California	2015
Watsonville	2	Santa Cruz, CA	4	California	2015
Redding	1	Shasta, CA	2	California	2015
Shasta County	3	Shasta, CA	3	California	2015
Siskiyou County	0	Siskiyou, CA	2	California	2015
Weed	1	Siskiyou, CA	1	California	2015
Yreka	1	Siskiyou, CA	1	California	2015
Dixon	1	Solano, CA	1	California	2015
Fairfield	6	Solano, CA	8	California	2015
Solano County	0	Solano, CA	3	California	2015
Suisun City	0	Solano, CA	1	California	2015
Vallejo	11	Solano, CA	18	California	2015
Santa Rosa	5	Sonoma, CA	4	California	2015
Sonoma County	5	Sonoma, CA	5	California	2015
Modesto	15	Stanislaus, CA	25	California	2015
Riverbank	1	Stanislaus, CA	1	California	2015
Stanislaus County	10	Stanislaus, CA	11	California	2015
Turlock	0	Stanislaus, CA	2	California	2015
Sutter County	0	Sutter, CA	1	California	2015
Tehama County	2	Tehama, CA	3	California	2015
Trinity County	1	Trinity, CA	1	California	2015
Dinuba	1	Tulare, CA	1	California	2015
Lindsay	0	Tulare, CA	1	California	2015
Porterville	1	Tulare, CA	2	California	2015
Tulare	14	Tulare, CA	10	California	2015
Tulare County	50	Tulare, CA	23	California	2015
Visalia	9	Tulare, CA	6	California	2015
Woodlake	0	Tulare, CA	2	California	2015
Tuolumne County	1	Tuolumne, CA	0	California	2015
Camarillo	1	Ventura, CA	2	California	2015
Fillmore	1	Ventura, CA	1	California	2015
Oxnard	6	Ventura, CA	12	California	2015
Port Hueneme	0	Ventura, CA	2	California	2015
Santa Paula	1	Ventura, CA	1	California	2015
Simi Valley	1	Ventura, CA	1	California	2015
Ventura	2	Ventura, CA	2	California	2015
Ventura County	2	Ventura, CA	3	California	2015
Davis	2	Yolo, CA	2	California	2015
West Sacramento	2	Yolo, CA	2	California	2015
Woodland	0	Yolo, CA	1	California	2015
Yolo County	1	Yolo, CA	1	California	2015
Marysville	0	Yuba, CA	2	California	2015
Yuba County	3	Yuba, CA	3	California	2015
Adams County	4	Adams, CO	6	Colorado	2015
Thornton	3	Adams, CO	4	Colorado	2015
Westminster	0	Adams, CO	1	Colorado	2015
Arapahoe County	0	Arapahoe, CO	2	Colorado	2015
Aurora	8	Arapahoe, CO	25	Colorado	2015
Centennial	0	Arapahoe, CO	1	Colorado	2015
Englewood	1	Arapahoe, CO	1	Colorado	2015
Glendale	1	Arapahoe, CO	1	Colorado	2015
Sheridan	1	Arapahoe, CO	1	Colorado	2015
Boulder	2	Boulder, CO	2	Colorado	2015
Longmont	1	Boulder, CO	1	Colorado	2015
Broomfield	1	Broomfield, CO	1	Colorado	2015
Denver	28	Denver, CO	53	Colorado	2015
Dolores County	1	Dolores, CO	1	Colorado	2015
Castle Rock	1	Douglas, CO	1	Colorado	2015
Douglas County	0	Douglas, CO	1	Colorado	2015
Avon	1	Eagle, CO	1	Colorado	2015
Colorado Springs	16	El Paso, CO	22	Colorado	2015
El Paso County	1	El Paso, CO	1	Colorado	2015
Canon City	0	Fremont, CO	1	Colorado	2015
Parachute	1	Garfield, CO	1	Colorado	2015
Arvada	1	Jefferson, CO	2	Colorado	2015
Jefferson County	1	Jefferson, CO	1	Colorado	2015
Lakewood	5	Jefferson, CO	6	Colorado	2015
Wheat Ridge	1	Jefferson, CO	1	Colorado	2015
Durango	1	La Plata, CO	1	Colorado	2015
La Plata County	0	La Plata, CO	1	Colorado	2015
Fort Collins	2	Larimer, CO	2	Colorado	2015
Larimer County	2	Larimer, CO	3	Colorado	2015
Loveland	1	Larimer, CO	2	Colorado	2015
Logan County	1	Logan, CO	1	Colorado	2015
Fruita	0	Mesa, CO	1	Colorado	2015
Mesa County	0	Mesa, CO	1	Colorado	2015
Fort Morgan	1	Morgan, CO	1	Colorado	2015
Rocky Ford	1	Otero, CO	1	Colorado	2015
Park County	1	Park, CO	1	Colorado	2015
Pueblo	6	Pueblo, CO	11	Colorado	2015
Pueblo County	1	Pueblo, CO	1	Colorado	2015
Routt County	2	Routt, CO	2	Colorado	2015
Summit County	1	Summit, CO	1	Colorado	2015
Ault	1	Weld, CO	1	Colorado	2015
Greeley	1	Weld, CO	2	Colorado	2015
Weld County	0	Weld, CO	2	Colorado	2015
Bridgeport	10	Fairfield, CT	19	Connecticut	2015
Shelton	1	Fairfield, CT	1	Connecticut	2015
Stamford	3	Fairfield, CT	3	Connecticut	2015
Bloomfield	1	Hartford, CT	1	Connecticut	2015
East Hartford	1	Hartford, CT	1	Connecticut	2015
Hartford	20	Hartford, CT	32	Connecticut	2015
New Britain	12	Hartford, CT	9	Connecticut	2015
Newington	1	Hartford, CT	0	Connecticut	2015
Plainville	1	Hartford, CT	0	Connecticut	2015
Torrington	1	Litchfield, CT	1	Connecticut	2015
Middletown	1	Middlesex, CT	1	Connecticut	2015
Old Saybrook	0	Middlesex, CT	1	Connecticut	2015
Connecticut State Police	7	New Haven, CT	15	Connecticut	2015
